anno,mese,giorno,capannone,razza,n_galline,uova_prodotte,giorni_in_capannone,n_morte,n_vendute
2022,6,12,3,hiline,4546,3030,344,0,0
2022,6,13,3,hiline,4545,3380,345,1,0
2022,6,14,3,hiline,4545,3460,346,0,0
2022,6,15,3,hiline,4545,3137,347,0,0
2022,6,16,3,hiline,4544,4000,348,1,0
2022,6,17,3,hiline,4544,3100,349,0,0
2022,6,18,3,hiline,4544,3830,350,0,0
2022,6,19,3,hiline,4544,3230,351,0,0
2022,6,20,3,hiline,4542,4340,352,2,0
2022,6,21,3,hiline,4542,3600,353,0,0
2022,6,22,3,hiline,4541,3829,354,1,0
2022,6,23,3,hiline,4539,3039,355,2,0
2022,6,24,3,hiline,4539,4170,356,0,0
2022,6,25,3,hiline,4539,3612,357,0,0
2022,6,26,3,hiline,4539,3710,358,0,0
2022,6,27,3,hiline,4539,3731,359,0,0
2022,6,28,3,hiline,4537,3336,360,2,0
2022,6,29,3,hiline,4534,3380,361,1,2
2022,6,30,3,hiline,4534,3260,362,0,0
2022,7,1,3,hiline,4533,3630,363,1,0
2022,7,2,3,hiline,4533,3881,364,0,0
2022,7,3,3,hiline,4532,3640,365,1,0
2022,7,4,3,hiline,4532,3580,366,0,0
2022,7,5,3,hiline,4530,3210,367,2,0
2022,7,6,3,hiline,4530,3510,368,0,0
2022,7,7,3,hiline,4528,3665,369,2,0
2022,7,8,3,hiline,4528,3620,370,0,0
2022,7,9,3,hiline,4519,3080,371,2,7
2022,7,10,3,hiline,4519,3579,372,0,0
2022,7,11,3,hiline,4518,3670,373,1,0
2022,7,12,3,hiline,4518,3810,374,0,0
2022,7,13,3,hiline,4512,3843,375,2,4
2022,7,14,3,hiline,4512,3600,376,0,0
2022,7,15,3,hiline,4510,3370,377,2,0
2022,7,16,3,hiline,4503,2900,378,2,5
2022,7,17,3,hiline,4503,3490,379,0,0
2022,7,18,3,hiline,4500,4100,380,3,0
2022,7,19,3,hiline,4500,3800,381,0,0
2022,7,20,3,hiline,4498,2990,382,2,0
2022,7,21,3,hiline,4498,3410,383,0,0
2022,7,22,3,hiline,4493,2800,384,5,0
2022,7,23,3,hiline,4490,3940,385,3,0
2022,7,24,3,hiline,4489,3560,386,1,0
2022,7,25,3,hiline,4489,2610,387,0,0
2022,7,26,3,hiline,4486,4139,388,3,0
2022,7,27,3,hiline,4486,2790,389,0,0
2022,7,28,3,hiline,4486,,390,0,0
2022,7,29,3,hiline,4483,3390,391,3,0
2022,7,30,3,hiline,4483,3848,392,0,0
2022,7,31,3,hiline,4483,2784,393,0,0
2022,8,1,3,hiline,4476,3930,394,2,5
2022,8,2,3,hiline,4475,3074,395,1,0
2022,8,3,3,hiline,4475,3480,396,0,0
2022,8,4,3,hiline,4473,3150,397,2,0
2022,8,5,3,hiline,4473,2420,398,0,0
2022,8,6,3,hiline,4473,3700,399,0,0
2022,8,7,3,hiline,4471,3430,400,2,0
2022,8,8,3,hiline,4471,3480,401,0,0
2022,8,9,3,hiline,4471,3480,402,0,0
2022,8,10,3,hiline,4468,3160,403,3,0
2022,8,11,3,hiline,4468,3060,404,0,0
2022,8,12,3,hiline,4467,3215,405,1,0
2022,8,13,3,hiline,4467,3120,406,0,0
2022,8,14,3,hiline,4465,3057,407,2,0
2022,8,15,3,hiline,4463,,408,2,0
2022,8,16,3,hiline,4463,4353,409,0,0
2022,8,17,3,hiline,4463,,410,0,0
2022,8,18,3,hiline,4460,,411,3,0
2022,8,19,3,hiline,4459,,412,1,0
2022,8,20,3,hiline,4459,,413,0,0
